test_id,test_name,algorithm,score,min_w,max_w,nqueues,arrival_interval_us,jobs_dispatched,jobs_attended,dispatch_jobs_per_s,attended_jobs_per_s,queue_dispatch_cv,queue_dispatch_min,queue_dispatch_mean,queue_dispatch_max,worker_completed_cv,active_workers,configured_workers,sample_low,sample_medium,sample_high,queue_low,queue_medium,rate_low,rate_medium,rho_low,rho_medium,config
209,w0_2_rho_loose,BAYES_PARTIAL,0.7221311168711163,0.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19896.917534,1.265185,0.0,195.311523,893.0,1.109004,878.0,1024.0,3.0,5.0,8.0,3.0,8.0,500.0,2000.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/209_w0_2_rho_loose.json
210,w1_1_base_fast,JSQ,0.5795829036923277,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19908.022943,6.591221,0.0,195.3125,8927.0,1.457732,72.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/210_w1_1_base_fast.json
210,w1_1_base_fast,LSL,0.5748879081310486,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19904.044591,6.589332,0.0,195.3125,8813.0,2.183873,133.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/210_w1_1_base_fast.json
210,w1_1_base_fast,POWER_OF_2,0.9660303898004465,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19881.126767,0.071712,153.0,195.3125,244.0,0.071712,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/210_w1_1_base_fast.json
210,w1_1_base_fast,BAYES_PARTIAL,0.7696119506137905,1.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19891.645686,0.852259,1.0,195.311523,582.0,0.852259,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/210_w1_1_base_fast.json
211,w1_1_q_tight,JSQ,0.5759255612595615,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19886.721258,6.590693,0.0,195.3125,8906.0,1.931356,109.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/211_w1_1_q_tight.json
211,w1_1_q_tight,LSL,0.5808585999640778,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19909.313079,6.619126,0.0,195.3125,8996.0,1.292097,61.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/211_w1_1_q_tight.json
211,w1_1_q_tight,POWER_OF_2,0.9663004452772668,1.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19896.086201,0.071694,153.0,195.311523,245.0,0.071694,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/211_w1_1_q_tight.json
211,w1_1_q_tight,BAYES_PARTIAL,0.7212309485658611,1.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19901.899069,1.258566,1.0,195.311523,923.0,1.258566,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/211_w1_1_q_tight.json
212,w1_1_rho_strict,JSQ,0.583784883334155,1.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19899.259495,6.595997,0.0,195.311523,8956.0,1.021181,47.0,1024.0,3.0,5.0,8.0,2.0,6.0,100.0,500.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/212_w1_1_rho_strict.json
212,w1_1_rho_strict,LSL,0.5805155598139184,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19899.638165,6.591655,0.0,195.3125,8768.0,1.333461,64.0,1024.0,3.0,5.0,8.0,2.0,6.0,100.0,500.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/212_w1_1_rho_strict.json
212,w1_1_rho_strict,POWER_OF_2,0.9663128554616899,1.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19897.58463,0.071726,153.0,195.311523,244.0,0.071726,1024.0,1024.0,3.0,5.0,8.0,2.0,6.0,100.0,500.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/212_w1_1_rho_strict.json
212,w1_1_rho_strict,BAYES_PARTIAL,0.7210517097696091,1.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19895.740352,1.259298,1.0,195.3125,903.0,1.259298,1024.0,1024.0,3.0,5.0,8.0,2.0,6.0,100.0,500.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/212_w1_1_rho_strict.json
213,w1_2_base_fast,JSQ,0.5937358312520783,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19890.858857,5.288481,0.0,195.3125,6191.0,1.220426,88.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/213_w1_2_base_fast.json
213,w1_2_base_fast,LSL,0.5966687961715381,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19901.075733,5.290736,0.0,195.3125,6228.0,0.976502,69.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/213_w1_2_base_fast.json
213,w1_2_base_fast,POWER_OF_2,0.9665978687538811,1.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19898.485379,0.071108,153.0,195.311523,244.0,0.071108,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/213_w1_2_base_fast.json
213,w1_2_base_fast,BAYES_PARTIAL,0.7732305722202586,1.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19900.687114,0.82882,1.0,195.311523,553.0,0.82882,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/213_w1_2_base_fast.json
214,w1_2_q_tight,JSQ,0.5942870568449906,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19895.36431,5.289647,0.0,195.3125,6196.0,1.173583,84.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/214_w1_2_q_tight.json
214,w1_2_q_tight,LSL,0.5907379703631008,1.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19893.184998,5.289036,0.0,195.311523,6211.0,1.565877,122.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/214_w1_2_q_tight.json
214,w1_2_q_tight,POWER_OF_2,0.9665636487066277,1.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19895.943694,0.071084,153.0,195.311523,245.0,0.071084,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/214_w1_2_q_tight.json
214,w1_2_q_tight,BAYES_PARTIAL,0.7238081350253118,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19903.94753,1.232942,1.0,195.3125,913.0,1.232942,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/214_w1_2_q_tight.json
215,w1_2_rho_strict_rate_hi,JSQ,0.59973187423963,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19902.160977,5.289852,0.0,195.3125,6195.0,0.764841,56.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/215_w1_2_rho_strict_rate_hi.json
215,w1_2_rho_strict_rate_hi,LSL,0.5962173622263552,1.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19898.596247,5.272165,0.0,195.311523,6148.0,1.02607,73.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/215_w1_2_rho_strict_rate_hi.json
215,w1_2_rho_strict_rate_hi,POWER_OF_2,0.966041957788013,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19867.612166,0.07114,153.0,195.3125,245.0,0.07114,1024.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/215_w1_2_rho_strict_rate_hi.json
215,w1_2_rho_strict_rate_hi,BAYES_PARTIAL,0.6896799045294582,1.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19895.229731,1.632343,1.0,195.3125,1292.0,1.632343,1024.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/215_w1_2_rho_strict_rate_hi.json
216,w2_2_base_fast,JSQ,0.6029411171314933,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19902.121367,4.774532,0.0,195.3125,4717.0,0.987556,85.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/216_w2_2_base_fast.json
216,w2_2_base_fast,LSL,0.6106287814601744,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19908.468368,4.774647,0.0,195.311523,4679.0,0.527421,55.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/216_w2_2_base_fast.json
216,w2_2_base_fast,POWER_OF_2,0.9669686969449615,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19909.312628,0.070694,154.0,195.311523,243.0,0.070694,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/216_w2_2_base_fast.json
216,w2_2_base_fast,BAYES_PARTIAL,0.7754522504207826,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19885.204702,0.812294,1.0,195.3125,555.0,0.812294,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/216_w2_2_base_fast.json
217,w2_2_q_tight,JSQ,0.6077741688303244,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19880.518086,4.77472,0.0,195.3125,4714.0,0.64626,61.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/217_w2_2_q_tight.json
217,w2_2_q_tight,LSL,0.6028097310427601,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19910.071729,4.773418,0.0,195.311523,4689.0,1.010366,87.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/217_w2_2_q_tight.json
217,w2_2_q_tight,POWER_OF_2,0.96658931104639,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19887.87953,0.0707,154.0,195.311523,243.0,0.0707,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/217_w2_2_q_tight.json
217,w2_2_q_tight,BAYES_PARTIAL,0.7269565381430368,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19895.894213,1.200602,1.0,195.311523,849.0,1.200602,1024.0,1024.0,3.0,5.0,8.0,1.0,4.0,100.0,500.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/217_w2_2_q_tight.json
218,w2_2_rho_strict,JSQ,0.600254025678471,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19886.588773,4.773665,0.0,195.3125,4722.0,1.199661,105.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/218_w2_2_rho_strict.json
218,w2_2_rho_strict,LSL,0.6021937942459006,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19907.634548,4.812475,0.0,195.3125,4753.0,1.014424,86.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/218_w2_2_rho_strict.json
218,w2_2_rho_strict,POWER_OF_2,0.9668630599996763,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19901.747065,0.070633,154.0,195.3125,242.0,0.070633,1024.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/218_w2_2_rho_strict.json
218,w2_2_rho_strict,BAYES_PARTIAL,0.693283251036986,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19900.201978,1.584493,1.0,195.311523,1197.0,1.584493,1024.0,1024.0,4.0,8.0,12.0,2.0,6.0,500.0,2000.0,0.5,0.9,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/218_w2_2_rho_strict.json
219,w2_2_q_wide_rho_loose,JSQ,0.6057498000555511,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19903.72964,4.773051,0.0,195.3125,4713.0,0.791027,70.0,1024.0,4.0,8.0,12.0,5.0,16.0,500.0,2000.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/219_w2_2_q_wide_rho_loose.json
219,w2_2_q_wide_rho_loose,LSL,0.6061569913536763,2.0,2.0,1024.0,50.0,200000.0,200000.0,20000.0,19899.40453,4.772614,0.0,195.3125,4675.0,0.760919,68.0,1024.0,4.0,8.0,12.0,5.0,16.0,500.0,2000.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/219_w2_2_q_wide_rho_loose.json
219,w2_2_q_wide_rho_loose,POWER_OF_2,0.9667279661853796,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19895.221293,0.070678,154.0,195.311523,243.0,0.070678,1024.0,1024.0,4.0,8.0,12.0,5.0,16.0,500.0,2000.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/219_w2_2_q_wide_rho_loose.json
219,w2_2_q_wide_rho_loose,BAYES_PARTIAL,0.6959405042155942,2.0,2.0,1024.0,50.0,199999.0,199999.0,19999.9,19910.131191,1.592246,0.0,195.311523,1228.0,1.237175,733.0,1024.0,4.0,8.0,12.0,5.0,16.0,500.0,2000.0,1.0,1.8,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/219_w2_2_q_wide_rho_loose.json
